number,suit,left,right
W001,010000000,True,True
W002,020000000,True,True
W003,011000000,True,True
W004,010100000,True,True
W005,031000000,True,True
W006,030100000,True,True
W007,011110000,True,True
W008,031100000,True,False
W009,011111000,False,False
W010,041200000,False,True
W011,033100000,True,True
W012,032200000,True,True
W013,032110000,True,False
W014,031300000,True,True
W015,031210000,True,False
W016,031111000,True,True
W017,031110100,True,True
W018,030211000,True,False
W019,030111100,True,True
W020,030103000,True,True
W021,024100000,True,False
W022,023200000,True,True
W023,014110000,True,True
W024,013111000,True,False
W025,011211100,False,True
W026,011111110,True,True
W027,033200000,False,True
W028,031111100,True,False
W029,022220000,True,True
W030,011411000,False,False
W031,044200000,False,True
W032,043300000,False,False
W033,042310000,False,False
W034,041311000,False,False
W035,041211100,False,True
W036,041203000,False,True
W037,034210000,True,False
W038,033310000,True,False
W039,033220000,False,True
W040,033211000,True,False
W041,033111100,True,True
W042,032410000,True,False
W043,032320000,True,False
W044,032311000,True,False
W045,032211100,True,False
W046,032111110,True,False
W047,031411000,True,True
W048,031321000,True,False
W049,031312000,True,True
W050,031311100,True,False
W051,031221100,True,True
W052,031213000,True,True
W053,031211110,True,False
W054,031121200,True,True
W055,031113100,True,True
W056,031112200,True,True
W057,031112110,True,False
W058,031111300,True,True
W059,031111210,True,False
W060,031111111,True,True
W061,311111101,True,True
W062,031110211,True,False
W063,311101111,True,True
W064,031110103,True,True
W065,031103110,True,False
W066,031100311,True,False
W067,031100113,True,True
W068,311000113,True,True
W069,030322000,True,True
W070,030211111,True,False
W071,030114100,True,True
W072,030111211,True,False
W073,301111111,True,True
W074,030111103,True,True
W075,024310000,True,False
W076,024220000,True,False
W077,024211000,True,False
W078,024111100,True,False
W079,023410000,True,False
W080,023311000,True,True
W081,023310100,True,True
W082,023212000,True,True
W083,022411000,True,False
W084,022311100,True,True
W085,022222000,True,True
W086,021411100,True,False
W087,014410000,True,True
W088,014311000,False,False
W089,014221000,True,False
W090,014211100,False,True
W091,014121100,True,False
W092,014111110,True,True
W093,013411000,True,False
W094,013111111,True,False
W095,011421100,True,False
W096,011411110,True,True
W097,011331100,False,False
W098,011303110,False,False
W099,011231110,False,False
W100,011131111,False,True
W101,033311000,False,False
W102,023311100,True,False
W103,022231100,True,False
W104,044311000,False,False
W105,044211100,False,True
W106,043420000,False,False
W107,043411000,False,False
W108,043311100,False,False
W109,042421000,False,False
W110,042412000,False,True
W111,042321100,False,True
W112,042313000,False,True
W113,042311110,False,False
W114,042221200,False,True
W115,041422000,False,True
W116,041314000,False,False
W117,041214100,False,True
W118,041211103,False,True
W119,041201113,False,True
W120,034330000,False,False
W121,034321000,True,False
W122,034312000,False,True
W123,034221100,True,True
W124,034211110,True,False
W125,033421000,True,False
W126,033411100,False,True
W127,033331000,False,False
W128,033322000,True,True
W129,033321100,True,False
W130,033313000,True,True
W131,033311110,True,True
W132,033232000,False,True
W133,033231100,False,False
W134,033221110,False,False
W135,033211300,False,True
W136,033211111,True,False
W137,033203110,False,False
W138,033201130,False,True
W139,033200113,False,True
W140,033111211,True,False
W141,331111111,True,True
W142,032431000,True,False
W143,032422000,True,True
W144,032421100,True,False
W145,032411110,True,False
W146,032331100,True,True
W147,032322100,True,False
W148,032321200,True,True
W149,032321110,True,False
W150,032311111,True,False
W151,032222200,True,True
W152,031432000,True,True
W153,031422100,True,False
W154,031412110,True,False
W155,031411111,True,True
W156,031323100,True,False
W157,031322200,True,True
W158,031322110,True,False
W159,031321111,True,False
W160,031313110,True,False
W161,031224100,True,True
W162,031223200,True,True
W163,031222210,True,False
W164,031221211,True,False
W165,312211111,True,True
W166,031221103,True,True
W167,031214110,True,False
W168,031211113,True,True
W169,031133200,True,True
W170,031124200,True,True
W171,031122310,True,False
W172,031121311,True,False
W173,311212111,True,True
W174,031121203,True,True
W175,031114210,True,False
W176,031113310,True,False
W177,031113220,True,True
W178,031113211,True,False
W179,311131111,True,True
W180,031112410,True,False
W181,031112320,True,False
W182,031112311,True,False
W183,031111411,True,True
W184,031111321,True,False
W185,031111312,True,True
W186,311112211,True,True
W187,311111212,True,True
W188,311111131,True,True
W189,311111122,True,True
W190,311111113,True,True
W191,031110322,True,True
W192,311101141,True,True
W193,031102222,True,True
W194,031100332,True,True
W195,311002222,True,True
W196,311000332,True,True
W197,030333100,True,False
W198,030323110,True,False
W199,030322111,True,False
W200,030214111,True,False
W201,030114211,True,False
W202,301141111,True,True
W203,030111322,True,True
W204,301111141,True,True
W205,030101332,True,True
W206,024411100,True,False
W207,024311110,True,False
W208,024232000,True,True
W209,024231100,True,False
W210,024222100,True,False
W211,024221200,True,True
W212,024221110,True,False
W213,024211111,True,False
W214,023421100,True,True
W215,023411110,True,False
W216,023341000,False,True
W217,023321200,True,True
W218,023313100,True,True
W219,023312200,True,True
W220,023312110,True,False
W221,023311210,True,False
W222,023311111,True,True
W223,233111101,True,True
W224,023310211,True,False
W225,233101111,True,True
W226,023303110,True,False
W227,023300311,True,False
W228,023223100,True,False
W229,023222200,True,True
W230,022441000,True,False
W231,022431100,False,False
W232,022411111,True,False
W233,022341100,True,True
W234,022331110,True,False
W235,022314100,True,True
W236,022311211,True,False
W237,223111111,True,True
W238,022233100,True,True
W239,022223110,True,False
W240,022220311,True,False
W241,021232111,True,False
W242,014431000,False,False
W243,014421100,True,False
W244,014411110,True,True
W245,014341000,False,False
W246,014331100,False,False
W247,014321110,False,False
W248,014241100,False,True
W249,014232100,True,False
W250,014231110,False,False
W251,014222110,True,True
W252,014221111,True,False
W253,014111410,True,True
W254,013431100,False,True
W255,013411111,True,False
W256,013341100,False,False
W257,013331110,False,True
W258,013241110,False,False
W259,013111411,True,False
W260,012441100,False,False
W261,012242110,False,False
W262,012241111,False,True
W263,011432110,False,False
W264,011431111,False,True
W265,011423110,False,False
W266,011414110,True,True
W267,011413111,True,False
W268,011342110,False,False
W269,011333110,True,True
W270,011323111,False,True
W271,011242111,False,True
